ID	Gold	Pred	Text
ID-1	positive	neutral	'Black Mirror' Season 5 first look has arrived
ID-2	negative	negative	'Creepy Uncle Joe': Glenn Beck recounts Biden's long history of unwanted touching
ID-3	negative	negative	'Extremely serious' death threat against Ben Shapiro leads to arrest
ID-4	neutral	positive	'Unplanned': How former Planned Parenthood Director Abby Johnson became America's most influential ​anti-abortion activist
ID-5	neutral	negative	‘MAGA bomber’: I didn’t know pipe bombs could hurt anyone
ID-6	negative	negative	‚ÄòUnprecedented‚Äô decline of plants and animals as global ‚Äòred list‚Äô reveals nearly one-third of assessed species are under threat
ID-7	negative	negative	“Ban Me Motherf***er” – Snoop Dogg Blasts Facebook/Instagram Censorship
ID-8	negative	negative	14 sailors killed in submarine fire laid to rest in Russia
ID-9	negative	negative	16 U.S. Marines Arrested on Human Smuggling Drug Charges near Border
ID-10	negative	negative	2 teens dead after being electrocuted trying to rescue dog in canal
ID-11	negative	negative	2 years after Grenfell experts warn of high-rise fire risk
ID-12	neutral	negative	2016 Lies All Over Again! Biden Launches Campaign With Fake Polls Showing Him 8 Points Ahead Against Trump
ID-13	neutral	neutral	4 bodies discovered in North Dakota office building
ID-14	negative	negative	5 gang members convicted in Atlanta’s ‘most brutal murder’
ID-15	negative	negative	6-year-old boy hospitalized after dingo attack in Australia
ID-16	negative	neutral	900 Migrants Apprehended in 2 Days After Crossing Remote AZ Border Area
ID-17	neutral	neutral	A  fantasy: Medieval scholars educate white nationalists on their pure white Europe claims
ID-18	negative	negative	A father fights to keep his daughter alive as anti-vaccine sentiment swells in Italy
ID-19	neutral	negative	A militia group is detaining migrants at the US-Mexico border
ID-20	negative	negative	A Republican senator actually just called out Trump‚Äôs hypocritical order on campus ‚Äòfree speech‚Äô
ID-21	negative	neutral	A top Emirati diplomat says UAE 'very committed to de-escalation' after alleged sabotage of oil tankers
ID-22	neutral	negative	ACLU calls for probe after black man was detained while moving into his home
ID-23	negative	neutral	Actor Jeffrey Wright: When We Get the Power Everybody Else F**king Duck
ID-24	neutral	negative	Africa Eye: On the front line of Nigeria‚Äôs energy crisis
ID-25	negative	negative	After 13 straight days of devastating tornadoes 39 million under severe weather threat
ID-26	negative	negative	Alabama Democrat State Rep Calling for 'Unwanted Children' to Be Aborted Announces Primary Challenge Against Sen. Doug Jones
ID-27	neutral	negative	Alabama governor denies reprieve for condemned killer
ID-28	negative	negative	Alexandria Ocasio-Cortez rips Steve King: ‚ÄòYou were too racist even for‚Äô Republicans
ID-29	neutral	neutral	An hour of activity may keep disability away
ID-30	negative	neutral	Andrew Gillum Reiterates Call for Impeachment After Mueller Report
ID-31	negative	negative	ÄòA new level of dysfunction Äô: The Trump administration suffers Äòrampant confusion Äô as US foreign policy goes of the rails
ID-32	negative	neutral	AOC claimed world will end in 12 years if climate change not addressed. Now she's changing her tune.
ID-33	negative	negative	AOC hit with brutal backlash for using Holocaust to defend Rep. Ilhan Omar bash President Trump
ID-34	negative	neutral	ÄòThe facts we know about already are damning‚Äô: Conservative writer says the GOP would impeach Trump if it werenÄôt run by Äòknow-nothing cultistsÄô
ID-35	negative	negative	Apple Microsoft and Google are all releasing fixes for ZombieLoad a scary security flaw in Intel chips that researchers just discovered (INTC)
ID-36	negative	neutral	Archbishop Says Christians Slaughtered ‚ÄòLike Chickens‚Äô in Nigeria
ID-37	negative	neutral	Atheist group complains 'God bless America' is said at elementary school after daily pledge. District quickly falls in line.
ID-38	neutral	positive	Austrian chancellor set to face confidence vote next week
ID-39	neutral	negative	Authorities thwart widespread terror plot involving US military veteran
ID-40	positive	positive	Baby girl found alive inside plastic bag
ID-41	neutral	neutral	Backfire: Senate Democrats Tweet poll pitting Ginsburg against Kavanaugh and guess what
ID-42	negative	negative	BBC Frets Over “Nervous and Afraid” Muslims Following Islamic Terror Attacks in Sri Lanka
ID-43	negative	negative	Bernie Sanders Blasts Greed Yet Owns Swanky Vacation Home
ID-44	negative	negative	Bernie Sanders Blasts NRA Calls for Gun Control After VA Beach Shooting
ID-45	neutral	negative	Bernie Sanders Plan Would Allow 183K Murderers 164K Rapists to Vote from Prison
ID-46	negative	neutral	Beto O'Rourke busted by angry voter for accepting lobbyist money while claiming not to accept it
ID-47	neutral	neutral	Beyonc√© makes black feminism accessible in her Coachella film ‚ÄòHomecoming‚Äô ‚Äî building on the education she‚Äôs delivered for years
ID-48	positive	positive	Bill Clinton: 'Columbine has a special place in my heart'
ID-49	negative	negative	Bill Gates reveals the biggest mistake of his career
ID-50	negative	neutral	Bitcoin bulls may have to wait 22 years for the cryptocurrency to return to all-time highs
ID-51	neutral	neutral	Bomb targets tourist bus in Egypt
ID-52	positive	positive	Border Patrol Rescues Five Migrants near Texas Border
ID-53	negative	neutral	Boston Dynamics To Start Selling Creepy Robot Dogs
ID-54	neutral	negative	BREAKING! Joe Biden Planning To Drop Out Of 2020 Presidential Race
ID-55	negative	negative	British Actress Emma Thompson: Abortion Laws Dragging U.S. Back to the 'Dark Ages'
ID-56	neutral	neutral	Callidus Capital Announces Liquidity and Recapitalization Arrangements and Provides Update on Timing of Release of Financial Statements
ID-57	negative	negative	Canada Responds to Philippines' War Threat with Offer to Take Back Garbage
ID-58	positive	neutral	Canadian Transportation Agency announces plans to enhance accessibility of Canada's national transportation system
ID-59	negative	negative	Candace Owens Gives Devastating Opening Testimony At Congressional Hearing
ID-60	negative	negative	Chaotic scene at Sydney Airport all flights grounded due to control tower fire
ID-61	negative	negative	Charles Barkley: “Every Black Person I Know Has Always Voted Democratic” & They’re “Still Poor”
ID-62	neutral	neutral	China toddler: Three-year-old falls six storeys and survives
ID-63	neutral	neutral	Christians revolt: Students at this top evangelical university are demanding Pence step down as commencement speaker ‚Äî and suggesting Buttigieg deliver the address instead
ID-64	negative	positive	Chuck Grassley says he can't believe that President Trump actually thinks that tariffs are good
ID-65	negative	neutral	Clashes break out at Jerusalem holy site
ID-66	neutral	negative	Colorado Baker Faces New Legal Battle For Refusing To Bake Transgender Cake
ID-67	negative	negative	Community outraged after high school boys in blackface post video of themselves disparaging black girls harassing McDonald's workers
ID-68	positive	positive	Consumers benefit from Demotech Support of Private Flood Insurance Carriers
ID-69	negative	negative	Cops raid Dallas Catholic Diocese after church leaders reportedly 'thwarted' investigation into child sexual abuse
ID-70	negative	negative	Cory Booker escalates NRA attacks during town hall vows to 'bring a fight': 'I'm tired of going to funerals’
ID-71	negative	neutral	Cracks open up as earthquake hits Peru
ID-72	negative	neutral	Dan Gainor on Big Tech Censorship: ‚ÄòAbsolutely a Threat‚Äô to Our Democratic Republic
