ID,Source,Pred,Monthly Visitors November 2020,Text,Pred123,Pred-101
ID-157,ABC,neutral,100510000,The Latest: Trump says threats led to carrier deployment,2,0
ID-216,ABC,neutral,100510000,Egypt election commission says voters have approved amendments allowing President el-Sissi to stay in power until 2030,2,0
ID-238,ABC,positive,100510000,US tells Afghan president Qatar talks best chance for peace,1,1
ID-368,ABC,negative,100510000,Delta pilot arrests passenger; plane returns to Puerto Rico,3,-1
ID-376,ABC,negative,100510000,More than 170 firefighters battle large wildfire in Greece,3,-1
ID-580,ABC,negative,100510000,Cyprus' new police chief apologizes over serial killer case,3,-1
ID-587,ABC,neutral,100510000,French tycoons show competitive streak over Notre Dame aid,2,0
ID-608,ABC,neutral,100510000,"""Sri Lanka Muslims",2,0
ID-609,ABC,positive,100510000,Sri Lanka shakes up top security posts after deadly bombings,1,1
ID-747,ABC,negative,100510000,Israel faces possible second election amid coalition crisis,3,-1
ID-790,ABC,positive,100510000,NATO chief plays down divisions as allies mark anniversary,1,1
ID-806,ABC,negative,100510000,Polish opposition rallies to condemn attack on LGBT march,3,-1
ID-984,ABC,neutral,100510000,"""Ethiopia",2,0
ID-1050,ABC,negative,100510000,Libya's Sarraj calls for elections in 2019 to end war,3,-1
ID-1160,ABC,neutral,100510000,The Latest: Bahrain FM gives interview to Israeli TV channel,2,0
ID-1161,ABC,negative,100510000,The Latest: US jury finds ex-priest guilty of sex abuse,3,-1
ID-1267,ABC,neutral,100510000,Ex-president's son found not guilty in fatal car accident,2,0
ID-1281,ABC,negative,100510000,Lyon bomb suspect had pledged allegiance to IS,3,-1
ID-1390,ABC,neutral,100510000,Chile says opposition activist Leopoldo López and family have sought refuge in ambassador's residence in Venezuela,2,0
ID-1421,ABC,negative,100510000,French probes ultra-right plot to attack religious venue,3,-1
ID-1534,ABC,neutral,100510000,The Latest: Reports: Rocket attack hits Baghdad's Green Zone,2,0
ID-1755,ABC,neutral,100510000,"""Strike paralyzes Haiti",2,0
ID-1791,ABC,negative,100510000,UN tells Italy proposed decree violates migrants' rights,3,-1
ID-1914,ABC,negative,100510000,Syria rejects Arab summit statement on Iran intervention,3,-1
ID-1962,ABC,neutral,100510000,66 minutes: The frantic race to save Notre Dame,2,0
ID-1981,ABC,negative,100510000,Hong Kong braces for more protests on handover anniversary,3,-1
ID-1999,ABC,neutral,100510000,S. Korea proposes UN probe over Japanese sanctions claims,2,0
ID-2029,ABC,neutral,100510000,The Latest: Muslim students talk to pope about tolerance,2,0
ID-2065,ABC,positive,100510000,'Thank you': Queen honors D-Day veterans at moving ceremony,1,1
ID-2108,ABC,neutral,100510000,"""4 Americans",2,0
ID-2112,ABC,neutral,100510000,Biman Airlines plane skids off runway in Myanmar; 4 injured,2,0
ID-2169,ABC,neutral,100510000,Migrants planning border push clash with police in Greece,2,0
ID-2188,ABC,negative,100510000,"""State coroner in Greece says woman believed to be a missing American scientist likely died as a result of """"criminal act""""""",3,-1
ID-2410,ABC,negative,100510000,Hamas rebuffs leader's call for worldwide attacks on Jews,3,-1
ID-2426,ABC,negative,100510000,"""Russia: Militants in Syria launch attack",3,-1
ID-2478,ABC,neutral,100510000,UN rights chief 'appalled' by conditions in US for migrants,2,0
ID-2558,ABC,neutral,100510000,"""Pope in Morocco: Walls",2,0
ID-2573,ABC,neutral,100510000,Syrian troops take village in last rebel stronghold,2,0
ID-2596,ABC,negative,100510000,UN envoy arrives in Syria amid violent clashes in the north,3,-1
